epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2913,2.15807,5.16591,1.76327,0.00333,1,0.25043,0.12052,1.67796,5.06559,1.609,6e-05,6e-05,6e-05
2,93.8451,1.51467,4.07908,1.36705,0.00333,1,0.96726,0.66244,1.00933,4.13959,1.10022,0.000134456,0.000134456,0.000134456
3,138.072,1.23197,2.94644,1.17456,0.00333,1,0.99018,0.71475,0.92029,3.9415,1.02438,0.000202576,0.000202576,0.000202576
4,182.489,1.20773,2.74055,1.14221,0.00333,1,0.9923,0.70274,0.8914,4.12111,1.04144,0.00026436,0.00026436,0.00026436
5,229.522,1.12645,2.52013,1.13582,0.00333,1,0.99437,0.71837,0.86668,4.02122,1.02568,0.000319808,0.000319808,0.000319808
6,274.339,1.13962,2.37686,1.12445,0.00333,1,0.99469,0.72494,0.87329,3.92632,1.01552,0.00036892,0.00036892,0.00036892
7,318.472,1.0623,2.42484,1.18215,0.00333,1,0.995,0.70785,0.90716,4.02772,1.02555,0.000411696,0.000411696,0.000411696
8,363.824,1.08398,2.12679,1.09952,0.00333,1,0.995,0.71215,0.92268,4.02813,1.01695,0.000448136,0.000448136,0.000448136
9,407.727,1.11983,2.13413,1.11251,0.00333,1,0.99452,0.70451,1.01202,4.04707,1.0511,0.00047824,0.00047824,0.00047824
10,451.348,1.07312,2.0946,1.10872,1,0.66061,0.99425,0.72804,0.91013,3.91798,1.02976,0.000502008,0.000502008,0.000502008
11,495.579,1.03621,2.09075,1.07606,1,0.72542,0.995,0.72603,0.93613,3.75441,1.04488,0.00051944,0.00051944,0.00051944
12,540.351,0.98481,1.85386,1.04929,1,0.68327,0.995,0.71145,0.92552,3.70697,1.01402,0.000530536,0.000530536,0.000530536
13,585.146,1.07986,1.89062,1.12525,1,0.88303,0.995,0.75823,0.89554,3.65385,1.0083,0.000535296,0.000535296,0.000535296
14,629.662,0.94232,1.8548,1.0424,1,0.96532,0.995,0.7707,0.88909,3.56867,1.00715,0.00053372,0.00053372,0.00053372
15,673.882,0.91757,1.72144,1.00953,1,0.99406,0.995,0.76349,0.89183,3.25482,1.00408,0.000525808,0.000525808,0.000525808
16,719.032,0.93535,2.57103,1.08403,1,0.98865,0.995,0.77738,0.85727,3.23653,0.9837,0.00051156,0.00051156,0.00051156
17,763.748,0.95799,2.52036,1.07299,1,0.92832,0.99484,0.7748,0.8574,3.453,0.98594,0.000490976,0.000490976,0.000490976
18,807.457,0.91014,2.56004,1.00964,1,0.96381,0.995,0.77637,0.84748,3.52301,0.98632,0.000464056,0.000464056,0.000464056
19,851.595,0.90117,2.66495,1.02722,1,0.99136,0.995,0.77314,0.85389,3.42848,1.00497,0.0004308,0.0004308,0.0004308
20,895.526,0.89412,2.50035,1.06524,1,0.99515,0.995,0.76998,0.84345,3.21909,0.99891,0.000391208,0.000391208,0.000391208
21,940.168,0.87021,2.40079,1.06366,1,0.99658,0.995,0.77916,0.78722,2.67407,0.97939,0.00034528,0.00034528,0.00034528
22,983.931,0.80946,2.23099,0.99339,1,0.99823,0.995,0.80034,0.77646,2.42701,0.97458,0.000293016,0.000293016,0.000293016
23,1028.45,0.85183,2.31415,1.00345,1,0.99969,0.995,0.81253,0.7662,2.26468,0.96553,0.000234416,0.000234416,0.000234416
24,1072.04,0.80482,2.22843,1.00841,0.99899,1,0.995,0.81893,0.74955,2.16396,0.95663,0.00016948,0.00016948,0.00016948
25,1115.99,0.78023,2.149,0.98107,0.9986,1,0.995,0.82316,0.73336,2.0949,0.94881,9.8208e-05,9.8208e-05,9.8208e-05
