epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6244,1.85711,3.83902,1.4499,0.00333,1,0.27054,0.1212,1.46921,3.7452,1.38601,6e-05,6e-05,6e-05
2,27.0756,1.43077,3.26219,1.20019,0.00333,1,0.95711,0.66423,0.82022,3.2597,1.03867,0.000134456,0.000134456,0.000134456
3,39.9445,1.27337,2.29545,1.08439,0.00333,1,0.995,0.71893,0.95806,2.86925,1.03412,0.000202576,0.000202576,0.000202576
4,52.6979,1.26361,1.93538,1.03641,0.00333,1,0.995,0.6835,1.03786,3.00094,1.05483,0.00026436,0.00026436,0.00026436
5,65.3266,1.23719,1.75756,1.09979,0.00333,1,0.995,0.71432,0.90829,3.06079,1.00711,0.000319808,0.000319808,0.000319808
6,78.0891,1.1689,1.70589,1.05979,0.00333,1,0.971,0.73551,0.88918,3.12449,1.0138,0.00036892,0.00036892,0.00036892
7,90.7654,0.93782,1.45008,1.01282,0.00333,1,0.995,0.7156,0.9239,3.0741,1.01055,0.000411696,0.000411696,0.000411696
8,103.072,1.06285,1.41143,1.07625,0.00333,1,0.995,0.73248,0.80054,3.11819,0.98825,0.000448136,0.000448136,0.000448136
9,115.6,1.12516,1.38777,1.11859,0.00333,1,0.90579,0.68237,0.8824,3.23575,1.0385,0.00047824,0.00047824,0.00047824
10,128.706,1.05022,1.60611,1.12164,0.00333,1,0.8479,0.60049,0.9651,3.28446,1.0714,0.000502008,0.000502008,0.000502008
11,141.607,1.00077,1.38837,1.04885,0.00333,1,0.84802,0.49792,1.03692,3.41385,1.12325,0.00051944,0.00051944,0.00051944
12,154.297,0.9676,1.49026,1.07619,1,0.26698,0.81072,0.47115,1.00924,3.30497,1.23189,0.000530536,0.000530536,0.000530536
13,166.582,0.9787,1.31808,1.06388,1,0.17726,0.63351,0.3864,0.99399,3.21048,1.19551,0.000535296,0.000535296,0.000535296
14,178.98,0.93558,1.15561,1.04351,1,0.18089,0.60414,0.37179,0.98047,3.11222,1.164,0.00053372,0.00053372,0.00053372
15,191.341,1.05644,1.12347,1.03344,0.73485,0.2562,0.85925,0.59585,0.98944,2.92094,1.14977,0.000525808,0.000525808,0.000525808
16,203.487,0.84356,1.44188,1.02281,1,0.2487,0.971,0.71244,0.95178,2.93416,1.1473,0.00051156,0.00051156,0.00051156
17,215.504,1.00972,1.51881,1.13381,1,0.22687,0.9875,0.72107,0.95634,2.96125,1.13936,0.000490976,0.000490976,0.000490976
18,227.893,1.01727,1.63991,1.06338,1,0.28591,0.995,0.75195,0.95814,2.80675,1.10306,0.000464056,0.000464056,0.000464056
19,240.809,0.90643,1.4933,1.05141,1,0.43731,0.995,0.70966,0.9806,2.69937,1.1224,0.0004308,0.0004308,0.0004308
20,252.971,0.86534,1.49109,1.1286,1,0.93673,0.995,0.72745,0.95301,2.53542,1.11841,0.000391208,0.000391208,0.000391208
21,265.293,0.90694,1.37984,1.10755,0.96584,1,0.995,0.71676,0.98174,2.27865,1.12783,0.00034528,0.00034528,0.00034528
22,278.113,0.8619,1.35429,0.95874,0.97004,1,0.995,0.71294,0.98727,2.12224,1.14545,0.000293016,0.000293016,0.000293016
23,290.408,0.87197,1.36514,1.02038,0.97616,1,0.995,0.71496,1.00136,2.02386,1.16741,0.000234416,0.000234416,0.000234416
24,302.88,0.84824,1.38519,1.04673,0.98245,1,0.995,0.72534,1.01245,1.92423,1.17297,0.00016948,0.00016948,0.00016948
25,315.326,0.88436,1.30037,1.02975,0.98479,1,0.995,0.72534,1.01323,1.8392,1.17314,9.8208e-05,9.8208e-05,9.8208e-05
