epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1331,1.91138,5.2966,1.50431,0,0,0,0,1.69244,5.13394,1.55747,1.5e-05,1.5e-05,1.5e-05
2,25.0503,1.87658,5.08755,1.4631,0,0,0,0,1.49112,4.99025,1.3954,3.269e-05,3.269e-05,3.269e-05
3,37.2352,1.6103,4.73684,1.30627,0,0,0,0,1.00814,4.86375,1.09136,4.774e-05,4.774e-05,4.774e-05
4,49.0878,1.33815,4.63109,1.09316,1,0.90909,0.9545,0.78574,0.77336,4.49308,0.99831,6.015e-05,6.015e-05,6.015e-05
5,61.3749,1.36214,3.74729,1.09438,1,1,0.995,0.80342,0.78654,4.42292,0.99672,6.992e-05,6.992e-05,6.992e-05
6,73.6434,1.19277,3.17891,0.93576,0.55,1,0.995,0.77499,0.8858,4.27265,1.03093,7.705e-05,7.705e-05,7.705e-05
7,85.9598,1.07424,2.7694,0.92618,0.36667,1,0.995,0.75594,0.95132,4.07039,1.07315,8.154e-05,8.154e-05,8.154e-05
8,98.0186,1.14974,2.45098,0.95217,0.28205,1,0.995,0.6952,1.03105,3.89923,1.10988,8.339e-05,8.339e-05,8.339e-05
9,109.881,1.05586,2.22412,0.92558,0.23404,1,0.995,0.74078,1.00265,3.76208,1.08345,8.26e-05,8.26e-05,8.26e-05
10,121.959,0.98918,2.03621,0.9639,0.21569,1,0.995,0.77676,0.92001,3.69101,1.05233,7.917e-05,7.917e-05,7.917e-05
11,133.979,0.92423,1.85773,0.91577,0.20755,1,0.995,0.7767,0.88277,3.6935,1.04364,7.31e-05,7.31e-05,7.31e-05
12,146.253,1.08972,2.03891,0.97629,0.18333,1,0.995,0.7577,0.87184,3.71124,1.03028,6.439e-05,6.439e-05,6.439e-05
13,158.832,1.11187,1.97525,1.00786,0.15714,1,0.995,0.77907,0.85478,3.70878,1.02793,5.304e-05,5.304e-05,5.304e-05
14,171.137,1.05141,2.00482,0.93431,0.13415,1,0.995,0.77286,0.854,3.66601,1.02665,3.905e-05,3.905e-05,3.905e-05
15,182.746,0.94639,1.94346,0.90003,0.11111,1,0.995,0.7678,0.86161,3.55148,1.02366,2.242e-05,2.242e-05,2.242e-05
